OBJECTID,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Length,Shape_Area,GEOID_Data
1,06,025,940000,3,060259400003,Block Group 3,G5030,S,12266417,680361,+32.7424027,-114.6675664,0.29775956464486664,0.0012455923459801638,15000US060259400003
2,06,025,010800,2,060250108002,Block Group 2,G5030,S,59331725,0,+32.7658550,-115.3923892,0.35406357204905325,0.005709763058407906,15000US060250108002
3,06,025,010800,1,060250108001,Block Group 1,G5030,S,230656791,0,+32.8363463,-115.3514134,0.8910998097938663,0.022214425186825138,15000US060250108001
4,06,025,011100,3,060250111003,Block Group 3,G5030,S,1209336,0,+32.7932442,-115.6903925,0.06250256626037691,0.00011641473309257001,15000US060250111003
5,06,073,010013,2,060730100132,Block Group 2,G5030,S,404606,0,+32.5564082,-117.0507980,0.03121501016936461,3.884768896774268e-5,15000US060730100132
6,06,037,310400,3,060373104003,Block Group 3,G5030,S,764102,0,+34.2035192,-118.3401897,0.043454630499654257,7.474054485215857e-5,15000US060373104003
7,06,031,000701,4,060310007014,Block Group 4,G5030,S,741332,0,+36.3603251,-119.6314511,0.04375913444579513,7.443536149521063e-5,15000US060310007014
8,06,031,000300,2,060310003002,Block Group 2,G5030,S,2266983,0,+36.2590989,-119.8902902,0.08756782989241926,0.00022733412275886727,15000US060310003002
9,06,031,000200,2,060310002002,Block Group 2,G5030,S,100173206,30840,+36.3348381,-119.8822495,0.5500859723873965,0.01005818524288343,15000US060310002002
10,06,059,086502,3,060590865023,Block Group 3,G5030,S,290933,0,+33.8454718,-117.9094315,0.023153996889291813,2.8339891672972276e-5,15000US060590865023
11,06,037,651002,4,060376510024,Block Group 4,G5030,S,246669,0,+33.8083636,-118.3239442,0.022026628207962303,2.4018013750063984e-5,15000US060376510024
12,06,037,651101,1,060376511011,Block Group 1,G5030,S,871365,0,+33.8183814,-118.3326885,0.04256917798518445,8.485374567269802e-5,15000US060376511011
13,06,059,099402,3,060590994023,Block Group 3,G5030,S,1299934,0,+33.7082565,-118.0021699,0.046842687720314885,0.00012642842969299298,15000US060590994023
14,06,059,099509,4,060590995094,Block Group 4,G5030,S,274249,0,+33.7732462,-118.0884280,0.04745842391939947,2.6692970248101894e-5,15000US060590995094
15,06,037,651101,2,060376511012,Block Group 2,G5030,S,4702741,2404,+33.8078567,-118.3379141,0.10826014539021063,0.00045812656529192774,15000US060376511012
16,06,037,651201,1,060376512011,Block Group 1,G5030,S,275367,0,+33.8215124,-118.3613471,0.047134693393883334,2.6815742689332383e-5,15000US060376512011
17,06,037,651201,2,060376512012,Block Group 2,G5030,S,486265,0,+33.8173895,-118.3692016,0.033254753432572524,4.735214278260835e-5,15000US060376512012
18,06,037,651201,4,060376512014,Block Group 4,G5030,S,329962,0,+33.8234527,-118.3722732,0.024779494992470924,3.213386363105521e-5,15000US060376512014
19,06,037,651221,1,060376512211,Block Group 1,G5030,S,696232,0,+33.8218914,-118.3550066,0.033912043643739946,6.780221013066333e-5,15000US060376512211
20,06,073,010103,3,060730101033,Block Group 3,G5030,S,397184,0,+32.5798625,-117.1013027,0.02932397182253599,3.814470233368673e-5,15000US060730101033
21,06,073,010104,2,060730101042,Block Group 2,G5030,S,657709,0,+32.5728369,-117.0970686,0.03195412434231131,6.316034583416309e-5,15000US060730101042
22,06,073,010103,2,060730101032,Block Group 2,G5030,S,466481,0,+32.5804618,-117.0958427,0.028251866685555474,4.4800487983690394e-5,15000US060730101032
23,06,073,010106,1,060730101061,Block Group 1,G5030,S,736442,0,+32.5724954,-117.0705189,0.03499651341444881,7.072088115175654e-5,15000US060730101061
24,06,029,005802,2,060290058022,Block Group 2,G5030,S,1412337,0,+34.8568281,-118.1668952,0.0483151317123134,0.0001392157126422766,15000US060290058022
25,06,071,009714,2,060710097142,Block Group 2,G5030,S,2780052,0,+34.5250438,-117.2038520,0.0924677656635134,0.00027295731216987464,15000US060710097142
26,06,071,009714,3,060710097143,Block Group 3,G5030,S,2413388,0,+34.5136368,-117.1995662,0.08079156684289071,0.0002369252360996683,15000US060710097143
27,06,071,009715,1,060710097151,Block Group 1,G5030,S,1942975,0,+34.5336362,-117.2586546,0.06753975938436685,0.0001907887650463673,15000US060710097151
28,06,071,009715,2,060710097152,Block Group 2,G5030,S,2953222,0,+34.5288119,-117.2398894,0.07653636001128662,0.00028997237367133096,15000US060710097152
29,06,071,009715,3,060710097153,Block Group 3,G5030,S,1927569,0,+34.5113959,-117.2392032,0.06671709148005704,0.0001892263959295498,15000US060710097153
30,06,071,010021,3,060710100213,Block Group 3,G5030,S,2444963,0,+34.4018085,-117.2724704,0.06645263602835462,0.0002397092452074276,15000US060710100213
31,06,071,010022,1,060710100221,Block Group 1,G5030,S,2993623,0,+34.4078512,-117.2494174,0.08092748668890054,0.0002935217034367574,15000US060710100221
32,06,029,005900,1,060290059001,Block Group 1,G5030,S,7888418,196196,+35.0386076,-118.1548487,0.12849542784585458,0.0007985906808423103,15000US060290059001
